Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,117,698.0,2023,4.85,-8.21%,4.99,4.69,5.48,117.59,3483.02,5.94,29.62,África,0.01,Baixo
Alemanha,4806,31853.0,2023,4.85,-8.21%,4.99,4.69,5.48,4830.15,158946.47,6.59,32.91,Europa,0.36,Médio
Angola,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Anguilla,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,383,1848.0,2023,4.85,-8.21%,4.99,4.69,5.48,384.92,9221.52,4.8,23.96,América do Norte e Central,0.02,Baixo
Antilhas Holandesas,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Arábia Saudita,124,142.0,2023,4.85,-8.21%,4.99,4.69,5.48,124.62,708.58,1.14,5.69,Ásia,0.0,Baixo
Argélia,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,4545,36133.0,2023,4.85,-8.21%,4.99,4.69,5.48,4567.84,180303.67,7.91,39.47,América do Sul,0.4,Médio
Aruba,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,2485,13565.0,2023,4.85,-8.21%,4.99,4.69,5.48,2497.49,67689.35,5.43,27.1,Austrália/Oceania,0.15,Médio
Áustria,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Bahamas,1348,7402.0,2023,4.85,-8.21%,4.99,4.69,5.48,1354.77,36935.98,5.46,27.26,América do Norte e Central,0.08,Baixo
Bangladesh,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Barbados,58,303.0,2023,4.85,-8.21%,4.99,4.69,5.48,58.29,1511.97,5.2,25.94,América do Norte e Central,0.0,Muito Baixo
Barein,283,1684.0,2023,4.85,-8.21%,4.99,4.69,5.48,284.42,8403.16,5.92,29.54,Ásia,0.02,Baixo
Bélgica,95,683.0,2023,4.85,-8.21%,4.99,4.69,5.48,95.48,3408.17,7.15,35.7,Europa,0.01,Muito Baixo
Belice,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Benin,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Bermudas,16,153.0,2023,4.85,-8.21%,4.99,4.69,5.48,16.08,763.47,9.51,47.48,América do Norte e Central,0.0,Muito Baixo
Bolívia,21926,36950.0,2023,4.85,-8.21%,4.99,4.69,5.48,22036.18,184380.5,1.68,8.37,América do Sul,0.41,Alto
Bósnia-Herzegovina,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Brasil,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Bulgária,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cabo Verde,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Camarões,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Canadá,11539,42179.0,2023,4.85,-8.21%,4.99,4.69,5.48,11596.98,210473.21,3.64,18.15,América do Norte e Central,0.47,Alto
Catar,5,18.0,2023,4.85,-8.21%,4.99,4.69,5.48,5.03,89.82,3.58,17.86,Ásia,0.0,Muito Baixo
Ilhas Cayman,438,2632.0,2023,4.85,-8.21%,4.99,4.69,5.48,440.2,13133.68,5.98,29.84,América do Norte e Central,0.03,Baixo
Chile,9,63.0,2023,4.85,-8.21%,4.99,4.69,5.48,9.05,314.37,6.96,34.74,América do Sul,0.0,Muito Baixo
China,73917,183096.0,2023,4.85,-8.21%,4.99,4.69,5.48,74288.44,913649.04,2.46,12.3,Ásia,2.05,Alto
Chipre,524,2995.0,2023,4.85,-8.21%,4.99,4.69,5.48,526.63,14945.05,5.69,28.38,Ásia,0.03,Baixo
Cingapura,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Ilhas Cocos,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Colômbia,450,1259.0,2023,4.85,-8.21%,4.99,4.69,5.48,452.26,6282.41,2.78,13.89,América do Sul,0.01,Baixo
Comores,0,0.0,2023,4.85,-8.21%,4.99,4.69,5.48,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
