Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Alemanha,61699,265978.0,2013,2.36,+15.31%,2.16,1.94,2.46,62009.05,574512.48,4.29,9.26,Europa,1.17,Alto
Angola,1573,9300.0,2013,2.36,+15.31%,2.16,1.94,2.46,1580.9,20088.0,5.88,12.71,África,0.04,Muito Baixo
Anguilla,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antilhas Holandesas,11281,19565.0,2013,2.36,+15.31%,2.16,1.94,2.46,11337.69,42260.4,1.73,3.73,,0.09,Baixo
Arábia Saudita,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Aruba,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,16707,101715.0,2013,2.36,+15.31%,2.16,1.94,2.46,16790.95,219704.4,6.06,13.08,Austrália/Oceania,0.45,Médio
Áustria,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Bahamas,581,5145.0,2013,2.36,+15.31%,2.16,1.94,2.46,583.92,11113.2,8.81,19.03,América do Norte e Central,0.02,Muito Baixo
Bangladesh,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Barbados,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Barein,0,0.0,2013,2.36,+15.31%,2.16,1.94,2.46,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Bélgica,22461,95893.0,2013,2.36,+15.31%,2.16,1.94,2.46,22573.87,207128.88,4.25,9.18,Europa,0.42,Médio
