Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Alemanha,8189,56342.0,2012,2.05,+9.95%,1.96,1.69,2.14,8230.15,110430.32,6.85,13.42,Europa,1.02,Médio
Angola,2833,8861.0,2012,2.05,+9.95%,1.96,1.69,2.14,2847.24,17367.56,3.11,6.1,África,0.16,Baixo
Anguilla,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antilhas Holandesas,9247,14081.0,2012,2.05,+9.95%,1.96,1.69,2.14,9293.47,27598.76,1.52,2.97,,0.26,Médio
Arábia Saudita,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Aruba,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,9345,56045.0,2012,2.05,+9.95%,1.96,1.69,2.14,9391.96,109848.2,5.97,11.7,Austrália/Oceania,1.02,Médio
Áustria,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Bahamas,1374,12087.0,2012,2.05,+9.95%,1.96,1.69,2.14,1380.9,23690.52,8.75,17.16,América do Norte e Central,0.22,Baixo
Bangladesh,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Barbados,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Barein,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Bélgica,16132,90718.0,2012,2.05,+9.95%,1.96,1.69,2.14,16213.07,177807.28,5.6,10.97,Europa,1.64,Médio
Belice,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Benin,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Bermudas,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Bolívia,11868,16804.0,2012,2.05,+9.95%,1.96,1.69,2.14,11927.64,32935.84,1.41,2.76,América do Sul,0.3,Médio
Bósnia-Herzegovina,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Brasil,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Bulgária,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cabo Verde,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Camarões,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Canadá,14304,146035.0,2012,2.05,+9.95%,1.96,1.69,2.14,14375.88,286228.6,10.16,19.91,América do Norte e Central,2.64,Médio
Catar,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Ilhas Cayman,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Chile,8550,15438.0,2012,2.05,+9.95%,1.96,1.69,2.14,8592.96,30258.48,1.8,3.52,América do Sul,0.28,Médio
China,87905,642177.0,2012,2.05,+9.95%,1.96,1.69,2.14,88346.73,1258666.92,7.27,14.25,Ásia,11.63,Alto
Chipre,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Cingapura,1212,5310.0,2012,2.05,+9.95%,1.96,1.69,2.14,1218.09,10407.6,4.36,8.54,Ásia,0.1,Muito Baixo
Ilhas Cocos,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Colômbia,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Comores,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Congo,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Coréia do Sul,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Costa do Marfim,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Costa Rica,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Coveite (Kuweit),0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Croácia,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cuba,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Curaçao,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Dinamarca,4716,23802.0,2012,2.05,+9.95%,1.96,1.69,2.14,4739.7,46651.92,5.02,9.84,Europa,0.43,Baixo
Dominica,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
El Salvador,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Emirados Arabes Unidos,675,3300.0,2012,2.05,+9.95%,1.96,1.69,2.14,678.39,6468.0,4.86,9.53,,0.06,Muito Baixo
Equador,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Eslováquia,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Espanha,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Estados Unidos,146585,303986.0,2012,2.05,+9.95%,1.96,1.69,2.14,147321.61,595812.56,2.06,4.04,,5.51,Alto
Estônia,3321,19384.0,2012,2.05,+9.95%,1.96,1.69,2.14,3337.69,37992.64,5.81,11.38,Europa,0.35,Baixo
Filipinas,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Finlândia,17100,67959.0,2012,2.05,+9.95%,1.96,1.69,2.14,17185.93,133199.64,3.95,7.75,Europa,1.23,Médio
França,195604,185791.0,2012,2.05,+9.95%,1.96,1.69,2.14,196586.93,364150.36,0.95,1.85,Europa,3.36,Alto
Gabão,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Gana,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Gibraltar,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Granada,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Grécia,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Guatemala,0,0.0,2012,2.05,+9.95%,1.96,1.69,2.14,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
