Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,26,95.0,2019,4.02,+3.56%,3.95,3.64,4.28,26.13,375.25,3.64,14.36,África,0.0,Muito Baixo
Alemanha,3660,25467.0,2019,4.02,+3.56%,3.95,3.64,4.28,3678.39,100594.65,6.92,27.35,Europa,0.43,Médio
Angola,345,1065.0,2019,4.02,+3.56%,3.95,3.64,4.28,346.73,4206.75,3.07,12.13,África,0.02,Baixo
Anguilla,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,219,1549.0,2019,4.02,+3.56%,3.95,3.64,4.28,220.1,6118.55,7.04,27.8,América do Norte e Central,0.03,Baixo
Antilhas Holandesas,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Arábia Saudita,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Aruba,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,1161,4682.0,2019,4.02,+3.56%,3.95,3.64,4.28,1166.83,18493.9,4.01,15.85,Austrália/Oceania,0.08,Médio
Áustria,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Bahamas,791,3124.0,2019,4.02,+3.56%,3.95,3.64,4.28,794.97,12339.8,3.93,15.52,América do Norte e Central,0.05,Médio
Bangladesh,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Barbados,36,394.0,2019,4.02,+3.56%,3.95,3.64,4.28,36.18,1556.3,10.89,43.02,América do Norte e Central,0.01,Muito Baixo
Barein,482,2144.0,2019,4.02,+3.56%,3.95,3.64,4.28,484.42,8468.8,4.43,17.48,Ásia,0.04,Baixo
Bélgica,2498,12548.0,2019,4.02,+3.56%,3.95,3.64,4.28,2510.55,49564.6,5.0,19.74,Europa,0.21,Médio
Belice,9,29.0,2019,4.02,+3.56%,3.95,3.64,4.28,9.05,114.55,3.2,12.66,,0.0,Muito Baixo
Benin,9,9.0,2019,4.02,+3.56%,3.95,3.64,4.28,9.05,35.55,0.99,3.93,África,0.0,Muito Baixo
Bermudas,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Bolívia,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Bósnia-Herzegovina,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Brasil,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Bulgária,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cabo Verde,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Camarões,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Canadá,1589,6933.0,2019,4.02,+3.56%,3.95,3.64,4.28,1596.98,27385.35,4.34,17.15,América do Norte e Central,0.12,Médio
Catar,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Ilhas Cayman,19,106.0,2019,4.02,+3.56%,3.95,3.64,4.28,19.1,418.7,5.55,21.92,América do Norte e Central,0.0,Muito Baixo
Chile,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
China,129852,376828.0,2019,4.02,+3.56%,3.95,3.64,4.28,130504.52,1488470.6,2.89,11.41,Ásia,6.35,Alto
Chipre,672,1843.0,2019,4.02,+3.56%,3.95,3.64,4.28,675.38,7279.85,2.73,10.78,Ásia,0.03,Baixo
Cingapura,5044,19099.0,2019,4.02,+3.56%,3.95,3.64,4.28,5069.35,75441.05,3.77,14.88,Ásia,0.32,Médio
Ilhas Cocos,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Colômbia,897,1999.0,2019,4.02,+3.56%,3.95,3.64,4.28,901.51,7896.05,2.22,8.76,América do Sul,0.03,Médio
Comores,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Congo,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Coréia do Sul,70,194.0,2019,4.02,+3.56%,3.95,3.64,4.28,70.35,766.3,2.76,10.89,,0.0,Baixo
Costa do Marfim,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Costa Rica,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Coveite (Kuweit),0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Croácia,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cuba,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Curaçao,33951,62067.0,2019,4.02,+3.56%,3.95,3.64,4.28,34121.61,245164.65,1.82,7.19,,1.05,Alto
Dinamarca,240,306.0,2019,4.02,+3.56%,3.95,3.64,4.28,241.21,1208.7,1.27,5.01,Europa,0.01,Baixo
Dominica,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
El Salvador,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Emirados Arabes Unidos,450,2202.0,2019,4.02,+3.56%,3.95,3.64,4.28,452.26,8697.9,4.87,19.23,,0.04,Baixo
Equador,2,3.0,2019,4.02,+3.56%,3.95,3.64,4.28,2.01,11.85,1.49,5.9,América do Sul,0.0,Muito Baixo
Eslováquia,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Espanha,3540,1353.0,2019,4.02,+3.56%,3.95,3.64,4.28,3557.79,5344.35,0.38,1.5,Europa,0.02,Médio
Estados Unidos,209765,616274.0,2019,4.02,+3.56%,3.95,3.64,4.28,210819.1,2434282.3,2.92,11.55,,10.38,Alto
Estônia,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Filipinas,736,2486.0,2019,4.02,+3.56%,3.95,3.64,4.28,739.7,9819.7,3.36,13.28,Ásia,0.04,Baixo
Finlândia,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
França,18286,67072.0,2019,4.02,+3.56%,3.95,3.64,4.28,18377.89,264934.4,3.65,14.42,Europa,1.13,Alto
Gabão,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Gana,7673,10010.0,2019,4.02,+3.56%,3.95,3.64,4.28,7711.56,39539.5,1.3,5.13,África,0.17,Alto
Gibraltar,23,93.0,2019,4.02,+3.56%,3.95,3.64,4.28,23.12,367.35,4.02,15.89,Europa,0.0,Muito Baixo
Granada,0,0.0,2019,4.02,+3.56%,3.95,3.64,4.28,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
