Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2016,3.26,-17.83%,3.48,3.1,4.17,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,0,0.0,2016,3.26,-17.83%,3.48,3.1,4.17,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Alemanha,14012,68109.0,2016,3.26,-17.83%,3.48,3.1,4.17,14082.41,237019.32,4.84,16.83,Europa,1.54,Médio
Angola,7359,35390.0,2016,3.26,-17.83%,3.48,3.1,4.17,7395.98,123157.2,4.79,16.65,África,0.8,Médio
Anguilla,0,0.0,2016,3.26,-17.83%,3.48,3.1,4.17,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,0,0.0,2016,3.26,-17.83%,3.48,3.1,4.17,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antilhas Holandesas,16641,26450.0,2016,3.26,-17.83%,3.48,3.1,4.17,16724.62,92046.0,1.58,5.5,,0.6,Médio
Arábia Saudita,0,0.0,2016,3.26,-17.83%,3.48,3.1,4.17,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2016,3.26,-17.83%,3.48,3.1,4.17,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,0,0.0,2016,3.26,-17.83%,3.48,3.1,4.17,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Aruba,0,0.0,2016,3.26,-17.83%,3.48,3.1,4.17,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,1954,13799.0,2016,3.26,-17.83%,3.48,3.1,4.17,1963.82,48020.52,7.03,24.45,Austrália/Oceania,0.31,Baixo
Áustria,675,5220.0,2016,3.26,-17.83%,3.48,3.1,4.17,678.39,18165.6,7.69,26.78,Europa,0.12,Muito Baixo
Bahamas,0,0.0,2016,3.26,-17.83%,3.48,3.1,4.17,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
