Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Alemanha,15467,87702.0,2017,3.31,+1.78%,3.19,3.04,3.41,15544.72,279769.38,5.64,18.0,Europa,1.23,Alto
Angola,10170,61680.0,2017,3.31,+1.78%,3.19,3.04,3.41,10221.11,196759.2,6.03,19.25,África,0.86,Médio
Anguilla,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antilhas Holandesas,5400,8550.0,2017,3.31,+1.78%,3.19,3.04,3.41,5427.14,27274.5,1.58,5.03,,0.12,Médio
Arábia Saudita,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Aruba,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,1350,7500.0,2017,3.31,+1.78%,3.19,3.04,3.41,1356.78,23925.0,5.53,17.63,Austrália/Oceania,0.11,Muito Baixo
Áustria,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Bahamas,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Bangladesh,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Barbados,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Barein,0,0.0,2017,3.31,+1.78%,3.19,3.04,3.41,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
