Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,4,21.0,2020,5.19,+29.22%,5.16,4.0,5.97,4.02,108.36,5.22,26.96,África,0.0,Muito Baixo
Alemanha,6261,32605.0,2020,5.19,+29.22%,5.16,4.0,5.97,6292.46,168241.8,5.18,26.74,Europa,0.54,Médio
Angola,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Anguilla,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,624,1864.0,2020,5.19,+29.22%,5.16,4.0,5.97,627.14,9618.24,2.97,15.34,América do Norte e Central,0.03,Baixo
Antilhas Holandesas,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Arábia Saudita,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,1015,4176.0,2020,5.19,+29.22%,5.16,4.0,5.97,1020.1,21548.16,4.09,21.12,América do Sul,0.07,Médio
Aruba,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,1013,3413.0,2020,5.19,+29.22%,5.16,4.0,5.97,1018.09,17611.08,3.35,17.3,Austrália/Oceania,0.06,Médio
Áustria,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Bahamas,1212,3703.0,2020,5.19,+29.22%,5.16,4.0,5.97,1218.09,19107.48,3.04,15.69,América do Norte e Central,0.06,Médio
Bangladesh,3,29.0,2020,5.19,+29.22%,5.16,4.0,5.97,3.02,149.64,9.6,49.55,Ásia,0.0,Muito Baixo
Barbados,143,169.0,2020,5.19,+29.22%,5.16,4.0,5.97,143.72,872.04,1.18,6.07,América do Norte e Central,0.0,Baixo
Barein,8,28.0,2020,5.19,+29.22%,5.16,4.0,5.97,8.04,144.48,3.48,17.97,Ásia,0.0,Muito Baixo
Bélgica,3166,20460.0,2020,5.19,+29.22%,5.16,4.0,5.97,3181.91,105573.6,6.43,33.18,Europa,0.34,Médio
Belice,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Benin,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Bermudas,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Bolívia,9900,16025.0,2020,5.19,+29.22%,5.16,4.0,5.97,9949.75,82689.0,1.61,8.31,América do Sul,0.26,Alto
Bósnia-Herzegovina,45,52.0,2020,5.19,+29.22%,5.16,4.0,5.97,45.23,268.32,1.15,5.93,,0.0,Baixo
Brasil,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Bulgária,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cabo Verde,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Camarões,0,178.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,918.48,0.0,0.0,África,0.0,Sem Volume
Canadá,1672,8431.0,2020,5.19,+29.22%,5.16,4.0,5.97,1680.4,43503.96,5.02,25.89,América do Norte e Central,0.14,Médio
Catar,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Ilhas Cayman,123,339.0,2020,5.19,+29.22%,5.16,4.0,5.97,123.62,1749.24,2.74,14.15,América do Norte e Central,0.01,Baixo
Chile,11,13.0,2020,5.19,+29.22%,5.16,4.0,5.97,11.06,67.08,1.18,6.07,América do Sul,0.0,Muito Baixo
China,122253,363000.0,2020,5.19,+29.22%,5.16,4.0,5.97,122867.34,1873080.0,2.95,15.24,Ásia,5.97,Alto
Chipre,2478,6785.0,2020,5.19,+29.22%,5.16,4.0,5.97,2490.45,35010.6,2.72,14.06,Ásia,0.11,Médio
Cingapura,4049,9316.0,2020,5.19,+29.22%,5.16,4.0,5.97,4069.35,48070.56,2.29,11.81,Ásia,0.15,Médio
Ilhas Cocos,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Colômbia,15660,23780.0,2020,5.19,+29.22%,5.16,4.0,5.97,15738.69,122704.8,1.51,7.8,América do Sul,0.39,Alto
Comores,9,25.0,2020,5.19,+29.22%,5.16,4.0,5.97,9.05,129.0,2.76,14.25,África,0.0,Muito Baixo
Congo,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Coréia do Sul,103,433.0,2020,5.19,+29.22%,5.16,4.0,5.97,103.52,2234.28,4.18,21.58,,0.01,Baixo
Costa do Marfim,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Costa Rica,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Coveite (Kuweit),0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Croácia,21,123.0,2020,5.19,+29.22%,5.16,4.0,5.97,21.11,634.68,5.83,30.07,Europa,0.0,Muito Baixo
Cuba,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Curaçao,47962,65986.0,2020,5.19,+29.22%,5.16,4.0,5.97,48203.02,340487.76,1.37,7.06,,1.09,Alto
Dinamarca,659,1962.0,2020,5.19,+29.22%,5.16,4.0,5.97,662.31,10123.92,2.96,15.29,Europa,0.03,Baixo
Dominica,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
El Salvador,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Emirados Arabes Unidos,581,2279.0,2020,5.19,+29.22%,5.16,4.0,5.97,583.92,11759.64,3.9,20.14,,0.04,Baixo
Equador,3780,3824.0,2020,5.19,+29.22%,5.16,4.0,5.97,3798.99,19731.84,1.01,5.19,América do Sul,0.06,Médio
Eslováquia,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Espanha,28,126.0,2020,5.19,+29.22%,5.16,4.0,5.97,28.14,650.16,4.48,23.1,Europa,0.0,Muito Baixo
Estados Unidos,300178,610793.0,2020,5.19,+29.22%,5.16,4.0,5.97,301686.43,3151691.88,2.02,10.45,,10.05,Alto
Estônia,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Filipinas,719,1548.0,2020,5.19,+29.22%,5.16,4.0,5.97,722.61,7987.68,2.14,11.05,Ásia,0.03,Baixo
Finlândia,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
França,12622,57144.0,2020,5.19,+29.22%,5.16,4.0,5.97,12685.43,294863.04,4.5,23.24,Europa,0.94,Alto
Gabão,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Gana,18810,22027.0,2020,5.19,+29.22%,5.16,4.0,5.97,18904.52,113659.32,1.17,6.01,África,0.36,Alto
Gibraltar,769,2860.0,2020,5.19,+29.22%,5.16,4.0,5.97,772.86,14757.6,3.7,19.09,Europa,0.05,Baixo
Granada,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Grécia,6859,18092.0,2020,5.19,+29.22%,5.16,4.0,5.97,6893.47,93354.72,2.62,13.54,Europa,0.3,Alto
Guatemala,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Guiana,990,2577.0,2020,5.19,+29.22%,5.16,4.0,5.97,994.97,13297.32,2.59,13.36,América do Sul,0.04,Baixo
Guiana Francesa,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Guine Bissau,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Guine Equatorial,0,0.0,2020,5.19,+29.22%,5.16,4.0,5.97,0.0,0.0,0.0,0.0,,0.0,Sem Volume
