Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Alemanha,10794,45382.0,2018,3.88,+17.17%,3.66,3.12,4.22,10848.24,166098.12,4.18,15.31,Europa,0.61,Alto
Angola,477,709.0,2018,3.88,+17.17%,3.66,3.12,4.22,479.4,2594.94,1.48,5.41,África,0.01,Muito Baixo
Anguilla,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,37,191.0,2018,3.88,+17.17%,3.66,3.12,4.22,37.19,699.06,5.14,18.8,América do Norte e Central,0.0,Muito Baixo
Antilhas Holandesas,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Arábia Saudita,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,15711,59150.0,2018,3.88,+17.17%,3.66,3.12,4.22,15789.95,216489.0,3.75,13.71,América do Sul,0.79,Alto
Aruba,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,2055,6902.0,2018,3.88,+17.17%,3.66,3.12,4.22,2065.33,25261.32,3.34,12.23,Austrália/Oceania,0.09,Baixo
Áustria,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Bahamas,141,634.0,2018,3.88,+17.17%,3.66,3.12,4.22,141.71,2320.44,4.47,16.37,América do Norte e Central,0.01,Muito Baixo
Bangladesh,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Barbados,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Barein,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Bélgica,7497,52799.0,2018,3.88,+17.17%,3.66,3.12,4.22,7534.67,193244.34,7.01,25.65,Europa,0.71,Médio
Belice,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Benin,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Bermudas,0,0.0,2018,3.88,+17.17%,3.66,3.12,4.22,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
