Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2024,6.18,+27.46%,5.4,4.83,6.75,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,103,1783.0,2024,6.18,+27.46%,5.4,4.83,6.75,103.52,9628.2,17.22,93.01,África,0.02,Muito Baixo
Alemanha,6666,48095.0,2024,6.18,+27.46%,5.4,4.83,6.75,6699.5,259713.0,7.18,38.77,Europa,0.55,Médio
Angola,0,0.0,2024,6.18,+27.46%,5.4,4.83,6.75,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Anguilla,0,0.0,2024,6.18,+27.46%,5.4,4.83,6.75,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,447,3329.0,2024,6.18,+27.46%,5.4,4.83,6.75,449.25,17976.6,7.41,40.01,América do Norte e Central,0.04,Baixo
Antilhas Holandesas,0,0.0,2024,6.18,+27.46%,5.4,4.83,6.75,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Arábia Saudita,32,54.0,2024,6.18,+27.46%,5.4,4.83,6.75,32.16,291.6,1.68,9.07,Ásia,0.0,Muito Baixo
Argélia,6,87.0,2024,6.18,+27.46%,5.4,4.83,6.75,6.03,469.8,14.43,77.91,África,0.0,Muito Baixo
Argentina,21015,167696.0,2024,6.18,+27.46%,5.4,4.83,6.75,21120.6,905558.4,7.94,42.88,América do Sul,1.92,Alto
Aruba,0,0.0,2024,6.18,+27.46%,5.4,4.83,6.75,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,2070,19152.0,2024,6.18,+27.46%,5.4,4.83,6.75,2080.4,103420.8,9.21,49.71,Austrália/Oceania,0.22,Baixo
