Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Alemanha,225086,393482.0,2009,1.74,-24.69%,2.0,1.69,2.45,226217.09,786964.0,1.74,3.48,Europa,4.4,Alto
Angola,54786,84235.0,2009,1.74,-24.69%,2.0,1.69,2.45,55061.31,168470.0,1.53,3.06,África,0.94,Alto
Anguilla,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antilhas Holandesas,8235,10651.0,2009,1.74,-24.69%,2.0,1.69,2.45,8276.38,21302.0,1.29,2.57,,0.12,Médio
Arábia Saudita,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,162,4523.0,2009,1.74,-24.69%,2.0,1.69,2.45,162.81,9046.0,27.78,55.56,América do Sul,0.05,Muito Baixo
Aruba,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,1014,9195.0,2009,1.74,-24.69%,2.0,1.69,2.45,1019.1,18390.0,9.02,18.05,Austrália/Oceania,0.1,Muito Baixo
Áustria,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Bahamas,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Bangladesh,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Barbados,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Barein,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Bélgica,125962,58764.0,2009,1.74,-24.69%,2.0,1.69,2.45,126594.97,117528.0,0.46,0.93,Europa,0.66,Alto
Belice,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Benin,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Bermudas,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Bolívia,40463,20729.0,2009,1.74,-24.69%,2.0,1.69,2.45,40666.33,41458.0,0.51,1.02,América do Sul,0.23,Médio
Bósnia-Herzegovina,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Brasil,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Bulgária,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cabo Verde,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Camarões,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Canadá,15664,73445.0,2009,1.74,-24.69%,2.0,1.69,2.45,15742.71,146890.0,4.67,9.33,América do Norte e Central,0.82,Médio
Catar,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Ilhas Cayman,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Chile,1475,4297.0,2009,1.74,-24.69%,2.0,1.69,2.45,1482.41,8594.0,2.9,5.8,América do Sul,0.05,Baixo
China,1553416,482400.0,2009,1.74,-24.69%,2.0,1.69,2.45,1561222.11,964800.0,0.31,0.62,Ásia,5.4,Alto
Chipre,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Cingapura,2419,6110.0,2009,1.74,-24.69%,2.0,1.69,2.45,2431.16,12220.0,2.51,5.03,Ásia,0.07,Baixo
Ilhas Cocos,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Colômbia,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Comores,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Congo,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Coréia do Sul,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Costa do Marfim,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Costa Rica,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Coveite (Kuweit),0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Croácia,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cuba,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Curaçao,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Dinamarca,1980,21780.0,2009,1.74,-24.69%,2.0,1.69,2.45,1989.95,43560.0,10.94,21.89,Europa,0.24,Baixo
Dominica,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
El Salvador,55,100.0,2009,1.74,-24.69%,2.0,1.69,2.45,55.28,200.0,1.81,3.62,América do Norte e Central,0.0,Muito Baixo
Emirados Arabes Unidos,1398,4032.0,2009,1.74,-24.69%,2.0,1.69,2.45,1405.03,8064.0,2.87,5.74,,0.05,Baixo
Equador,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Eslováquia,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Espanha,2181,4050.0,2009,1.74,-24.69%,2.0,1.69,2.45,2191.96,8100.0,1.85,3.7,Europa,0.05,Baixo
Estados Unidos,372319,660066.0,2009,1.74,-24.69%,2.0,1.69,2.45,374189.95,1320132.0,1.76,3.53,,7.38,Alto
Estônia,5438,10802.0,2009,1.74,-24.69%,2.0,1.69,2.45,5465.33,21604.0,1.98,3.95,Europa,0.12,Baixo
Filipinas,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Finlândia,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
França,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Gabão,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Gana,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Gibraltar,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Granada,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Grécia,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Guatemala,20,20.0,2009,1.74,-24.69%,2.0,1.69,2.45,20.1,40.0,1.0,1.99,América do Norte e Central,0.0,Muito Baixo
Guiana,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Guiana Francesa,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Guine Bissau,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Guine Equatorial,169,272.0,2009,1.74,-24.69%,2.0,1.69,2.45,169.85,544.0,1.6,3.2,,0.0,Muito Baixo
Haiti,4500,5863.0,2009,1.74,-24.69%,2.0,1.69,2.45,4522.61,11726.0,1.3,2.59,América do Norte e Central,0.07,Baixo
Honduras,14,30.0,2009,1.74,-24.69%,2.0,1.69,2.45,14.07,60.0,2.13,4.26,América do Norte e Central,0.0,Muito Baixo
Hong Kong,50319,27188.0,2009,1.74,-24.69%,2.0,1.69,2.45,50571.86,54376.0,0.54,1.08,,0.3,Médio
Hungria,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Ilha de Man,0,0.0,2009,1.74,-24.69%,2.0,1.69,2.45,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
