Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Alemanha,36070,144150.0,2011,1.86,+12.27%,1.67,1.53,1.95,36251.26,240730.5,3.98,6.64,Europa,3.99,Alto
Angola,13889,69001.0,2011,1.86,+12.27%,1.67,1.53,1.95,13958.79,115231.67,4.94,8.26,África,1.91,Alto
Anguilla,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antilhas Holandesas,7335,10188.0,2011,1.86,+12.27%,1.67,1.53,1.95,7371.86,17013.96,1.38,2.31,,0.28,Médio
Arábia Saudita,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,13253,55460.0,2011,1.86,+12.27%,1.67,1.53,1.95,13319.6,92618.2,4.16,6.95,América do Sul,1.53,Médio
Aruba,900,1680.0,2011,1.86,+12.27%,1.67,1.53,1.95,904.52,2805.6,1.86,3.1,América do Norte e Central,0.05,Muito Baixo
Austrália,3632,40704.0,2011,1.86,+12.27%,1.67,1.53,1.95,3650.25,67975.68,11.15,18.62,Austrália/Oceania,1.13,Baixo
Áustria,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Bahamas,4529,28810.0,2011,1.86,+12.27%,1.67,1.53,1.95,4551.76,48112.7,6.33,10.57,América do Norte e Central,0.8,Baixo
Bangladesh,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Barbados,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Barein,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Bélgica,11802,62339.0,2011,1.86,+12.27%,1.67,1.53,1.95,11861.31,104106.13,5.26,8.78,Europa,1.72,Médio
Belice,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Benin,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Bermudas,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Bolívia,12775,20215.0,2011,1.86,+12.27%,1.67,1.53,1.95,12839.2,33759.05,1.57,2.63,América do Sul,0.56,Médio
Bósnia-Herzegovina,0,0.0,2011,1.86,+12.27%,1.67,1.53,1.95,0.0,0.0,0.0,0.0,,0.0,Sem Volume
