Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Alemanha,27715,138666.0,2010,1.66,-4.79%,1.76,1.64,1.92,27854.27,244052.16,4.98,8.76,Europa,5.34,Alto
Angola,33557,189891.0,2010,1.66,-4.79%,1.76,1.64,1.92,33725.63,334208.16,5.63,9.91,África,7.32,Alto
Anguilla,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antilhas Holandesas,9810,12808.0,2010,1.66,-4.79%,1.76,1.64,1.92,9859.3,22542.08,1.3,2.29,,0.49,Médio
Arábia Saudita,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Aruba,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,1823,17960.0,2010,1.66,-4.79%,1.76,1.64,1.92,1832.16,31609.6,9.8,17.25,Austrália/Oceania,0.69,Baixo
Áustria,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Bahamas,3175,12759.0,2010,1.66,-4.79%,1.76,1.64,1.92,3190.95,22455.84,4.0,7.04,América do Norte e Central,0.49,Baixo
Bangladesh,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Barbados,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Barein,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Bélgica,42532,185411.0,2010,1.66,-4.79%,1.76,1.64,1.92,42745.73,326323.36,4.34,7.63,Europa,7.14,Alto
Belice,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Benin,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Bermudas,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Bolívia,54,282.0,2010,1.66,-4.79%,1.76,1.64,1.92,54.27,496.32,5.2,9.15,América do Sul,0.01,Muito Baixo
Bósnia-Herzegovina,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Brasil,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Bulgária,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cabo Verde,11991,49366.0,2010,1.66,-4.79%,1.76,1.64,1.92,12051.26,86884.16,4.1,7.21,África,1.9,Médio
Camarões,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Canadá,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Catar,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Ilhas Cayman,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Chile,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
China,795,2358.0,2010,1.66,-4.79%,1.76,1.64,1.92,798.99,4150.08,2.95,5.19,Ásia,0.09,Muito Baixo
Chipre,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Cingapura,1533,5504.0,2010,1.66,-4.79%,1.76,1.64,1.92,1540.7,9687.04,3.57,6.29,Ásia,0.21,Baixo
Ilhas Cocos,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Colômbia,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Comores,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Congo,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Coréia do Sul,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Costa do Marfim,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Costa Rica,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Coveite (Kuweit),0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Croácia,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cuba,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Curaçao,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Dinamarca,7034,69161.0,2010,1.66,-4.79%,1.76,1.64,1.92,7069.35,121723.36,9.78,17.22,Europa,2.66,Médio
Dominica,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
El Salvador,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Emirados Arabes Unidos,1035,3206.0,2010,1.66,-4.79%,1.76,1.64,1.92,1040.2,5642.56,3.08,5.42,,0.12,Muito Baixo
Equador,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Eslováquia,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Espanha,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Estados Unidos,228968,478630.0,2010,1.66,-4.79%,1.76,1.64,1.92,230118.59,842388.8,2.08,3.66,,18.44,Alto
Estônia,15848,40778.0,2010,1.66,-4.79%,1.76,1.64,1.92,15927.64,71769.28,2.56,4.51,Europa,1.57,Médio
Filipinas,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Finlândia,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
França,3614,18904.0,2010,1.66,-4.79%,1.76,1.64,1.92,3632.16,33271.04,5.2,9.16,Europa,0.73,Baixo
Gabão,0,0.0,2010,1.66,-4.79%,1.76,1.64,1.92,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
