Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Afeganistão,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
África do Sul,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Alemanha,10680,44780.0,2015,3.96,+49.04%,3.34,2.55,4.25,10733.67,149565.2,4.17,13.93,Europa,1.62,Médio
Angola,1908,17089.0,2015,3.96,+49.04%,3.34,2.55,4.25,1917.59,57077.26,8.91,29.77,África,0.62,Baixo
Anguilla,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antígua e Barbuda,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Antilhas Holandesas,6660,10545.0,2015,3.96,+49.04%,3.34,2.55,4.25,6693.47,35220.3,1.58,5.26,,0.38,Baixo
Arábia Saudita,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Argélia,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Argentina,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Aruba,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Austrália,7437,48011.0,2015,3.96,+49.04%,3.34,2.55,4.25,7474.37,160356.74,6.42,21.45,Austrália/Oceania,1.73,Médio
Áustria,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Bahamas,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Bangladesh,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Barbados,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Barein,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Bélgica,4473,26399.0,2015,3.96,+49.04%,3.34,2.55,4.25,4495.48,88172.66,5.87,19.61,Europa,0.95,Baixo
Belice,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Benin,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Bermudas,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Bolívia,10674,12990.0,2015,3.96,+49.04%,3.34,2.55,4.25,10727.64,43386.6,1.21,4.04,América do Sul,0.47,Médio
Bósnia-Herzegovina,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Brasil,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Bulgária,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cabo Verde,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Camarões,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Canadá,24547,118394.0,2015,3.96,+49.04%,3.34,2.55,4.25,24670.35,395435.96,4.8,16.03,América do Norte e Central,4.28,Médio
Catar,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Ilhas Cayman,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Chile,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
China,47609,222866.0,2015,3.96,+49.04%,3.34,2.55,4.25,47848.24,744372.44,4.66,15.56,Ásia,8.05,Alto
Chipre,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Cingapura,1116,2774.0,2015,3.96,+49.04%,3.34,2.55,4.25,1121.61,9265.16,2.47,8.26,Ásia,0.1,Muito Baixo
Ilhas Cocos,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Colômbia,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Comores,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Congo,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Coréia do Sul,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Costa do Marfim,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Costa Rica,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Coveite (Kuweit),0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Croácia,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Cuba,97965,108864.0,2015,3.96,+49.04%,3.34,2.55,4.25,98457.29,363605.76,1.11,3.69,América do Norte e Central,3.93,Alto
Curaçao,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Dinamarca,7080,29306.0,2015,3.96,+49.04%,3.34,2.55,4.25,7115.58,97882.04,4.12,13.76,Europa,1.06,Baixo
Dominica,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
El Salvador,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Emirados Arabes Unidos,765,3740.0,2015,3.96,+49.04%,3.34,2.55,4.25,768.84,12491.6,4.86,16.25,,0.14,Muito Baixo
Equador,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Eslováquia,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Espanha,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Estados Unidos,195896,524109.0,2015,3.96,+49.04%,3.34,2.55,4.25,196880.4,1750524.06,2.66,8.89,,18.93,Alto
Estônia,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Filipinas,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
Finlândia,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
França,1596,4749.0,2015,3.96,+49.04%,3.34,2.55,4.25,1604.02,15861.66,2.96,9.89,Europa,0.17,Muito Baixo
Gabão,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Gana,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
Gibraltar,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Granada,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Grécia,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Guatemala,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Guiana,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Guiana Francesa,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Guine Bissau,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Guine Equatorial,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Haiti,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Honduras,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Hong Kong,1229,7837.0,2015,3.96,+49.04%,3.34,2.55,4.25,1235.18,26175.58,6.34,21.19,,0.28,Muito Baixo
Hungria,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Ilha de Man,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Ilhas Virgens,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Índia,0,0.0,2015,3.96,+49.04%,3.34,2.55,4.25,0.0,0.0,0.0,0.0,Ásia,0.0,Sem Volume
