Países,Quantidade (Kg),Valor (US$),Ano,Preco_fechamento,Cambio%,Cambio,Minimo,Maximo,Quantidade (L),Valor (R$),Valor (L) US$,Valor (L) R$,CONTINENTE,Market_Share,Quantidade_Volume
Omã,194,670.0,2022,5.29,-5.09%,5.16,4.58,5.73,194.97,3457.2,3.44,17.73,Ásia,0.01,Baixo
Países Baixos,7034,37240.0,2022,5.29,-5.09%,5.16,4.58,5.73,7069.35,192158.4,5.27,27.18,Europa,0.34,Médio
Palau,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Austrália/Oceania,0.0,Sem Volume
Panamá,11490,49392.0,2022,5.29,-5.09%,5.16,4.58,5.73,11547.74,254862.72,4.28,22.07,América do Norte e Central,0.45,Alto
Paraguai,5076670,7156293.0,2022,5.29,-5.09%,5.16,4.58,5.73,5102180.9,36926471.88,1.4,7.24,América do Sul,65.38,Alto
Peru,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,América do Sul,0.0,Sem Volume
Pitcairn,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,,0.0,Sem Volume
Polônia,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,Europa,0.0,Sem Volume
Porto Rico,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Portugal,1918,7613.0,2022,5.29,-5.09%,5.16,4.58,5.73,1927.64,39283.08,3.95,20.38,Europa,0.07,Médio
Quênia,1440,2080.0,2022,5.29,-5.09%,5.16,4.58,5.73,1447.24,10732.8,1.44,7.42,África,0.02,Médio
Reino Unido,18835,138154.0,2022,5.29,-5.09%,5.16,4.58,5.73,18929.65,712874.64,7.3,37.66,Europa,1.26,Alto
República Dominicana,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,América do Norte e Central,0.0,Sem Volume
Rússia,66046,118618.0,2022,5.29,-5.09%,5.16,4.58,5.73,66377.89,612068.88,1.79,9.22,Europa,1.08,Alto
São Cristóvão e Névis,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,,0.0,Sem Volume
São Tomé e Príncipe,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
São Vicente e Granadinas,20,51.0,2022,5.29,-5.09%,5.16,4.58,5.73,20.1,263.16,2.54,13.09,América do Norte e Central,0.0,Muito Baixo
Senegal,0,0.0,2022,5.29,-5.09%,5.16,4.58,5.73,0.0,0.0,0.0,0.0,África,0.0,Sem Volume
